customer_id,dimension,passed,status,evaluation_details,findings,remediation_required,next_review_date
C001,AML Screening,True,Compliant,"{'risk_rating': 'High', 'jurisdiction': 'EU', 'screening_evaluation': {'screening_result': 'No Hit', 'screening_status': 'HIT_DETECTED', 'hit_severity': 'No Hit', 'match_name': None, 'match_score': None, 'list_reference': 'OFAC'}, 'rescreening_evaluation': {'risk_rating': 'High', 'allowed_interval_days': 365, 'days_since_last_screening': 34, 'next_screening_due': Timestamp('2027-03-06 00:00:00'), 'overdue': False, 'days_overdue': 0}, 'hit_evaluation': {'resolution_status': None, 'compliance_status': 'UNKNOWN', 'needs_manual_review': False, 'hit_severity': 'No Hit', 'resolution_date': None, 'days_to_resolution': None, 'sla_limit_days': None, 'sla_breached': False}, 'last_screening_date': '2026-03-06', 'days_since_last_screening': 34, 'next_screening_due': '2027-03-06T00:00:00', 'screening_overdue': False}","[' Hit detected: No Hit on OFAC', '✓ On schedule: 34 days since last screening (next due: 2027-03-06)', ' Hit resolved as None in None days']",False,2026-07-08
C002,AML Screening,True,Compliant,"{'risk_rating': 'Low', 'jurisdiction': 'UK', 'screening_evaluation': {'screening_result': 'No Hit', 'screening_status': 'HIT_DETECTED', 'hit_severity': 'No Hit', 'match_name': None, 'match_score': None, 'list_reference': 'EU'}, 'rescreening_evaluation': {'risk_rating': 'Low', 'allowed_interval_days': 365, 'days_since_last_screening': 49, 'next_screening_due': Timestamp('2027-02-19 00:00:00'), 'overdue': False, 'days_overdue': 0}, 'hit_evaluation': {'resolution_status': None, 'compliance_status': 'UNKNOWN', 'needs_manual_review': False, 'hit_severity': 'No Hit', 'resolution_date': None, 'days_to_resolution': None, 'sla_limit_days': None, 'sla_breached': False}, 'last_screening_date': '2026-02-19', 'days_since_last_screening': 49, 'next_screening_due': '2027-02-19T00:00:00', 'screening_overdue': False}","[' Hit detected: No Hit on EU', '✓ On schedule: 49 days since last screening (next due: 2027-02-19)', ' Hit resolved as None in None days']",False,2026-07-08
C003,AML Screening,True,Compliant,"{'risk_rating': 'Medium', 'jurisdiction': 'US', 'screening_evaluation': {'screening_result': 'No Hit', 'screening_status': 'HIT_DETECTED', 'hit_severity': 'No Hit', 'match_name': None, 'match_score': None, 'list_reference': 'HMT'}, 'rescreening_evaluation': {'risk_rating': 'Medium', 'allowed_interval_days': 365, 'days_since_last_screening': 113, 'next_screening_due': Timestamp('2026-12-17 00:00:00'), 'overdue': False, 'days_overdue': 0}, 'hit_evaluation': {'resolution_status': None, 'compliance_status': 'UNKNOWN', 'needs_manual_review': False, 'hit_severity': 'No Hit', 'resolution_date': None, 'days_to_resolution': None, 'sla_limit_days': None, 'sla_breached': False}, 'last_screening_date': '2025-12-17', 'days_since_last_screening': 113, 'next_screening_due': '2026-12-17T00:00:00', 'screening_overdue': False}","[' Hit detected: No Hit on HMT', '✓ On schedule: 113 days since last screening (next due: 2026-12-17)', ' Hit resolved as None in None days']",False,2026-07-08
C004,AML Screening,True,Compliant,"{'risk_rating': 'Medium', 'jurisdiction': 'Offshore', 'screening_evaluation': {'screening_result': 'No Hit', 'screening_status': 'HIT_DETECTED', 'hit_severity': 'No Hit', 'match_name': None, 'match_score': None, 'list_reference': 'EU'}, 'rescreening_evaluation': {'risk_rating': 'Medium', 'allowed_interval_days': 365, 'days_since_last_screening': 91, 'next_screening_due': Timestamp('2027-01-08 00:00:00'), 'overdue': False, 'days_overdue': 0}, 'hit_evaluation': {'resolution_status': None, 'compliance_status': 'UNKNOWN', 'needs_manual_review': False, 'hit_severity': 'No Hit', 'resolution_date': None, 'days_to_resolution': None, 'sla_limit_days': None, 'sla_breached': False}, 'last_screening_date': '2026-01-08', 'days_since_last_screening': 91, 'next_screening_due': '2027-01-08T00:00:00', 'screening_overdue': False}","[' Hit detected: No Hit on EU', '✓ On schedule: 91 days since last screening (next due: 2027-01-08)', ' Hit resolved as None in None days']",False,2026-07-08
C005,AML Screening,True,Compliant,"{'risk_rating': 'Low', 'jurisdiction': 'EU', 'screening_evaluation': {'screening_result': 'No Hit', 'screening_status': 'HIT_DETECTED', 'hit_severity': 'No Hit', 'match_name': None, 'match_score': None, 'list_reference': 'HMT'}, 'rescreening_evaluation': {'risk_rating': 'Low', 'allowed_interval_days': 365, 'days_since_last_screening': 16, 'next_screening_due': Timestamp('2027-03-24 00:00:00'), 'overdue': False, 'days_overdue': 0}, 'hit_evaluation': {'resolution_status': None, 'compliance_status': 'UNKNOWN', 'needs_manual_review': False, 'hit_severity': 'No Hit', 'resolution_date': None, 'days_to_resolution': None, 'sla_limit_days': None, 'sla_breached': False}, 'last_screening_date': '2026-03-24', 'days_since_last_screening': 16, 'next_screening_due': '2027-03-24T00:00:00', 'screening_overdue': False}","[' Hit detected: No Hit on HMT', '✓ On schedule: 16 days since last screening (next due: 2027-03-24)', ' Hit resolved as None in None days']",False,2026-07-08
C006,AML Screening,True,Compliant,"{'risk_rating': 'High', 'jurisdiction': 'EU', 'screening_evaluation': {'screening_result': 'No Hit', 'screening_status': 'HIT_DETECTED', 'hit_severity': 'No Hit', 'match_name': None, 'match_score': None, 'list_reference': 'OFAC'}, 'rescreening_evaluation': {'risk_rating': 'High', 'allowed_interval_days': 365, 'days_since_last_screening': 51, 'next_screening_due': Timestamp('2027-02-17 00:00:00'), 'overdue': False, 'days_overdue': 0}, 'hit_evaluation': {'resolution_status': None, 'compliance_status': 'UNKNOWN', 'needs_manual_review': False, 'hit_severity': 'No Hit', 'resolution_date': None, 'days_to_resolution': None, 'sla_limit_days': None, 'sla_breached': False}, 'last_screening_date': '2026-02-17', 'days_since_last_screening': 51, 'next_screening_due': '2027-02-17T00:00:00', 'screening_overdue': False}","[' Hit detected: No Hit on OFAC', '✓ On schedule: 51 days since last screening (next due: 2027-02-17)', ' Hit resolved as None in None days']",False,2026-07-08
C007,AML Screening,True,Compliant,"{'risk_rating': 'Medium', 'jurisdiction': 'EU', 'screening_evaluation': {'screening_result': 'No Hit', 'screening_status': 'HIT_DETECTED', 'hit_severity': 'No Hit', 'match_name': None, 'match_score': None, 'list_reference': 'UN'}, 'rescreening_evaluation': {'risk_rating': 'Medium', 'allowed_interval_days': 365, 'days_since_last_screening': 10, 'next_screening_due': Timestamp('2027-03-30 00:00:00'), 'overdue': False, 'days_overdue': 0}, 'hit_evaluation': {'resolution_status': None, 'compliance_status': 'UNKNOWN', 'needs_manual_review': False, 'hit_severity': 'No Hit', 'resolution_date': None, 'days_to_resolution': None, 'sla_limit_days': None, 'sla_breached': False}, 'last_screening_date': '2026-03-30', 'days_since_last_screening': 10, 'next_screening_due': '2027-03-30T00:00:00', 'screening_overdue': False}","[' Hit detected: No Hit on UN', '✓ On schedule: 10 days since last screening (next due: 2027-03-30)', ' Hit resolved as None in None days']",False,2026-07-08
C008,AML Screening,True,Compliant,"{'risk_rating': 'Low', 'jurisdiction': 'EU', 'screening_evaluation': {'screening_result': 'No Hit', 'screening_status': 'HIT_DETECTED', 'hit_severity': 'No Hit', 'match_name': None, 'match_score': None, 'list_reference': 'HMT'}, 'rescreening_evaluation': {'risk_rating': 'Low', 'allowed_interval_days': 365, 'days_since_last_screening': 131, 'next_screening_due': Timestamp('2026-11-29 00:00:00'), 'overdue': False, 'days_overdue': 0}, 'hit_evaluation': {'resolution_status': None, 'compliance_status': 'UNKNOWN', 'needs_manual_review': False, 'hit_severity': 'No Hit', 'resolution_date': None, 'days_to_resolution': None, 'sla_limit_days': None, 'sla_breached': False}, 'last_screening_date': '2025-11-29', 'days_since_last_screening': 131, 'next_screening_due': '2026-11-29T00:00:00', 'screening_overdue': False}","[' Hit detected: No Hit on HMT', '✓ On schedule: 131 days since last screening (next due: 2026-11-29)', ' Hit resolved as None in None days']",False,2026-07-08
C009,AML Screening,True,Compliant,"{'risk_rating': 'Low', 'jurisdiction': 'EU', 'screening_evaluation': {'screening_result': 'No Hit', 'screening_status': 'HIT_DETECTED', 'hit_severity': 'No Hit', 'match_name': None, 'match_score': None, 'list_reference': 'HMT'}, 'rescreening_evaluation': {'risk_rating': 'Low', 'allowed_interval_days': 365, 'days_since_last_screening': 139, 'next_screening_due': Timestamp('2026-11-21 00:00:00'), 'overdue': False, 'days_overdue': 0}, 'hit_evaluation': {'resolution_status': None, 'compliance_status': 'UNKNOWN', 'needs_manual_review': False, 'hit_severity': 'No Hit', 'resolution_date': None, 'days_to_resolution': None, 'sla_limit_days': None, 'sla_breached': False}, 'last_screening_date': '2025-11-21', 'days_since_last_screening': 139, 'next_screening_due': '2026-11-21T00:00:00', 'screening_overdue': False}","[' Hit detected: No Hit on HMT', '✓ On schedule: 139 days since last screening (next due: 2026-11-21)', ' Hit resolved as None in None days']",False,2026-07-08
C010,AML Screening,True,Compliant,"{'risk_rating': 'Medium', 'jurisdiction': 'Offshore', 'screening_evaluation': {'screening_result': 'No Hit', 'screening_status': 'HIT_DETECTED', 'hit_severity': 'No Hit', 'match_name': None, 'match_score': None, 'list_reference': 'EU'}, 'rescreening_evaluation': {'risk_rating': 'Medium', 'allowed_interval_days': 365, 'days_since_last_screening': 165, 'next_screening_due': Timestamp('2026-10-26 00:00:00'), 'overdue': False, 'days_overdue': 0}, 'hit_evaluation': {'resolution_status': None, 'compliance_status': 'UNKNOWN', 'needs_manual_review': False, 'hit_severity': 'No Hit', 'resolution_date': None, 'days_to_resolution': None, 'sla_limit_days': None, 'sla_breached': False}, 'last_screening_date': '2025-10-26', 'days_since_last_screening': 165, 'next_screening_due': '2026-10-26T00:00:00', 'screening_overdue': False}","[' Hit detected: No Hit on EU', '✓ On schedule: 165 days since last screening (next due: 2026-10-26)', ' Hit resolved as None in None days']",False,2026-07-08
