customer_id,last_txn_date,activity_status
C001,2025-10-11,Active
C002,2026-02-16,Active
C003,2025-12-29,Active
C004,2026-02-07,Active
C005,2025-11-19,Active
C006,2026-01-17,Active
C007,2026-01-27,Active
C008,2026-01-02,Active
C009,2025-12-11,Active
C010,2025-11-24,Active
C011,2024-11-29,Active
C012,2023-07-17,Dormant
C013,2024-05-19,Active
C014,2024-06-17,Active
C015,2023-06-16,Dormant
C016,2026-02-16,Active
C017,2024-08-13,Active
C018,2025-02-26,Active
C019,2024-04-22,Dormant
C020,2026-02-02,Active
C021,2024-08-09,Active
C022,2025-03-24,Active
C023,2024-09-17,Active
C024,2025-02-01,Active
C025,2024-10-30,Active
C026,2024-05-28,Active
C027,2022-07-21,Dormant
C028,2022-11-24,Dormant
C029,2024-10-15,Active
C030,2024-05-28,Active
C031,2025-08-11,Active
C032,2025-07-26,Active
C033,2022-06-24,Dormant
C034,2025-10-04,Active
C035,2025-02-16,Active
C036,2025-05-09,Active
C037,2018-02-22,Dormant
C038,2023-08-30,Dormant
C039,2024-09-23,Active
C040,2024-02-08,Dormant
C041,2022-07-17,Dormant
C042,2024-06-03,Active
C043,2025-09-24,Active
C044,2024-08-15,Active
C045,2024-03-28,Dormant
C046,2025-01-02,Active
C047,2024-12-21,Active
C048,2024-07-27,Active
C049,2023-11-07,Dormant
C050,2025-07-04,Active
C051,2025-02-06,Active
C052,2023-09-26,Dormant
C053,2025-01-25,Active
C054,2023-08-09,Dormant
C055,2024-02-18,Dormant
C056,2023-03-24,Dormant
C057,2023-01-24,Dormant
C058,2025-02-21,Active
C059,2026-01-23,Active
C060,2025-07-20,Active
C061,2025-09-08,Active
C062,2024-09-17,Active
C063,2024-06-10,Active
C064,2025-10-01,Active
C065,2024-02-14,Dormant
C066,2024-07-23,Active
C067,2024-11-05,Active
C068,2025-07-05,Active
C069,2024-03-26,Dormant
C070,2024-06-11,Active
C071,2025-07-26,Active
C072,2024-12-27,Active
C073,2022-10-09,Dormant
C074,2025-04-10,Active
C075,2023-06-21,Dormant
C076,2024-03-24,Dormant
C077,2022-09-15,Dormant
C078,2024-08-29,Active
C079,2023-07-07,Dormant
C080,2025-02-06,Active
C081,2024-09-07,Active
C082,2024-11-05,Active
C083,2025-05-20,Active
C084,2022-06-03,Dormant
C085,2022-12-13,Dormant
C086,2023-04-21,Dormant
C087,2024-07-20,Active
C088,2026-02-09,Active
C089,2023-05-26,Dormant
C090,2024-08-30,Active
C091,2023-05-11,Dormant
C092,2025-01-04,Active
C093,2023-01-04,Dormant
C094,2024-10-11,Active
C095,2024-09-21,Active
C096,2024-09-16,Active
C097,2026-03-19,Active
C098,2023-07-11,Dormant
C099,2022-05-09,Dormant
C100,2025-01-09,Active
C101,2025-05-06,Active
C102,2023-03-08,Dormant
C103,2025-06-23,Active
C104,2024-11-29,Active
C105,2025-01-07,Active
