customer_id,document_type,upload_date,expiry_date
C001,Company Registration,2019-09-25,2024-06-12
C001,Articles of Association,2023-01-17,2030-08-15
C002,Company Registration,2019-11-13,2024-02-08
C002,Articles of Association,2020-01-27,2024-01-29
C003,Company Registration,2021-01-05,2025-05-12
C003,Articles of Association,2022-12-03,2030-07-31
C004,Company Registration,2021-08-08,2029-03-14
C004,Articles of Association,2022-10-17,2027-02-23
C005,Company Registration,2025-05-12,2032-05-24
C006,Company Registration,2020-07-04,2027-03-13
C006,Articles of Association,2022-02-27,2029-02-01
C007,Company Registration,2025-03-27,2028-06-16
C008,Company Registration,2025-09-10,2032-03-03
C008,Tax Return,2025-12-10,2027-04-21
C009,Articles of Association,2019-12-07,2026-03-08
C009,Company Registration,2023-09-13,2031-06-04
C009,Tax Return,2025-03-02,2026-09-18
C010,Company Registration,2020-12-30,2028-08-09
C010,Proof of Address,2023-11-10,2025-05-03
C010,Tax Return,2024-03-03,2025-05-14
C010,Articles of Association,2025-11-30,2031-08-14
C011,Company Registration,2022-04-14,2027-10-12
C011,Articles of Association,2023-11-14,2029-10-15
C012,Company Registration,2021-04-11,2028-05-07
C012,Articles of Association,2022-10-28,2026-01-26
C012,Tax Return,2023-11-02,2025-04-25
C013,Company Registration,2024-12-18,2028-10-21
C014,Company Registration,2020-01-01,2023-10-17
C014,Articles of Association,2021-05-29,2026-12-30
C014,Proof of Address,2023-12-02,2025-12-13
C014,Tax Return,2024-05-16,2025-12-23
C015,Company Registration,2021-10-02,2024-01-29
C015,Articles of Association,2023-12-23,2029-06-29
C016,Proof of Address,2023-03-07,2025-03-23
C016,Company Registration,2023-10-13,2028-02-01
C016,Articles of Association,2025-06-27,2031-09-21
C017,Articles of Association,2020-09-13,2026-08-28
C017,Company Registration,2023-12-24,2031-02-09
C018,Company Registration,2021-10-31,2026-06-15
C018,Articles of Association,2022-03-30,2026-05-20
C019,Articles of Association,2022-09-05,2026-05-03
C019,Company Registration,2022-11-08,2025-10-20
C019,Proof of Address,2025-07-14,2027-07-23
C020,Articles of Association,2019-07-03,2023-04-10
C020,Company Registration,2024-08-08,2032-04-30
C021,Articles of Association,2020-09-12,2025-04-25
C021,Company Registration,2020-09-24,2024-09-02
C021,Tax Return,2025-03-18,2026-03-22
C022,Company Registration,2020-10-03,2024-04-14
C022,Articles of Association,2021-11-19,2028-01-12
C023,Company Registration,2020-09-03,2026-06-23
C023,Tax Return,2026-02-17,2027-06-09
C024,Articles of Association,2020-02-28,2024-10-10
C024,Company Registration,2022-11-30,2025-04-11
C024,Proof of Address,2023-08-17,2027-05-27
C025,Articles of Association,2020-02-06,2027-09-18
C025,Company Registration,2024-12-02,2028-03-13
C026,Articles of Association,2021-06-03,2024-12-28
C026,Company Registration,2025-09-21,2026-06-12
C026,Tax Return,2026-02-15,2027-10-03
C027,Company Registration,2023-03-30,2029-02-23
C027,Tax Return,2024-02-24,2025-12-21
C027,Proof of Address,2025-07-13,2027-11-10
C028,Company Registration,2022-04-04,2029-01-20
C028,Articles of Association,2024-08-17,2032-01-10
C028,Proof of Address,2025-01-11,2026-05-12
C029,Company Registration,2020-03-21,2025-05-15
C029,Articles of Association,2024-04-20,2029-02-10
C030,Company Registration,2019-10-08,2024-10-06
C031,Company Registration,2025-02-13,2028-08-21
C032,Company Registration,2023-01-30,2026-07-02
C032,Proof of Address,2024-05-20,2026-10-08
C032,Articles of Association,2024-09-13,2029-02-05
C033,Company Registration,2021-10-14,2029-04-09
C033,Articles of Association,2023-03-06,2029-09-10
C033,Proof of Address,2023-08-28,2025-01-28
C034,Articles of Association,2023-01-26,2029-12-17
C034,Company Registration,2025-02-22,2031-08-30
C035,Company Registration,2020-09-18,2026-05-20
C035,Articles of Association,2025-02-22,2032-03-28
C036,Company Registration,2022-03-04,2024-11-17
C036,Proof of Address,2023-10-13,2025-12-19
C037,Articles of Association,2019-09-16,2023-06-09
C037,Company Registration,2022-07-27,2027-09-30
C038,Articles of Association,2021-01-13,2026-07-02
C038,Company Registration,2022-05-03,2026-05-11
C038,Proof of Address,2023-01-27,2026-06-22
C039,Company Registration,2022-10-21,2026-07-03
C040,Articles of Association,2022-10-06,2029-10-30
C040,Company Registration,2024-05-02,2026-11-30
C040,Tax Return,2024-05-18,2025-07-03
C041,Articles of Association,2024-09-13,2026-06-21
C041,Company Registration,2025-02-14,2026-05-22
C041,Proof of Address,2026-02-22,2029-01-25
C042,Company Registration,2021-06-15,2026-06-08
C042,Articles of Association,2021-11-22,2025-05-22
