customer_id,entity_type,customer_name,jurisdiction,industry,account_open_date,last_kyc_review_date,risk_rating
C001,LEGAL_ENTITY,Vertex Logistics GmbH,EU,Asset Management,2020-06-29,2023-04-12,High
C002,LEGAL_ENTITY,Sable Capital Partners LP,UK,Food Processing,2015-01-20,2024-03-16,Low
C003,LEGAL_ENTITY,Oakridge Technologies GmbH,US,Agribusiness,2025-03-27,2025-06-22,Medium
C004,LEGAL_ENTITY,ClearPath Foods BV,Offshore,Wholesale Trade,2020-10-03,2024-10-24,Medium
C005,LEGAL_ENTITY,PrimeArc Biotech GmbH,EU,FinTech,2023-02-24,2023-07-21,Low
C006,LEGAL_ENTITY,Oakridge Capital Partners LP,EU,FinTech,2024-10-28,,High
C007,LEGAL_ENTITY,Novaline Biotech GmbH,EU,Private Investment,2019-03-14,2023-10-24,Medium
C008,LEGAL_ENTITY,Tamarind Capital Partners LP,EU,Technology,2023-11-25,2023-12-26,Low
C009,LEGAL_ENTITY,CedarGate Technologies GmbH,EU,Healthcare Services,2026-03-12,2026-03-22,Low
C010,LEGAL_ENTITY,ClearPath Capital Partners LP,Offshore,Wholesale Trade,2023-07-05,2023-12-16,Medium
C011,LEGAL_ENTITY,Helix Foods BV,US,Energy Trading,2022-04-02,2024-02-22,Medium
C012,LEGAL_ENTITY,Atlas Properties BV,Offshore,Healthcare Services,2013-07-06,2019-08-30,Low
C013,LEGAL_ENTITY,Crescent Advisors LLP,EU,Agribusiness,2017-12-07,2024-03-24,High
C014,LEGAL_ENTITY,Harbor Logistics GmbH,EU,Professional Services,2023-05-14,2024-07-04,Low
C015,LEGAL_ENTITY,Harbor Biotech GmbH,EU,Mining Services,2024-09-04,2025-02-06,High
C016,LEGAL_ENTITY,Oakridge Foods BV,EU,Construction,2022-04-19,2024-05-29,High
C017,LEGAL_ENTITY,Northgate Logistics GmbH,Offshore,Construction,2025-11-03,2025-11-24,Medium
C018,LEGAL_ENTITY,Trinity Distribution SA,Offshore,Import/Export,2024-07-26,,Medium
C019,LEGAL_ENTITY,Crown Advisors LLP,UK,Energy Trading,2024-02-01,2024-03-23,High
C020,LEGAL_ENTITY,Argent Retail Group LLC,Offshore,Telecom,2022-10-25,2025-01-31,High
C021,LEGAL_ENTITY,Redwood Capital Partners LP,US,Luxury Goods,2021-12-21,2022-01-05,Low
C022,LEGAL_ENTITY,Redwood Capital Partners LP,Offshore,FinTech,2014-12-11,2024-04-07,Medium
C023,LEGAL_ENTITY,Pioneer Pharma BV,UK,Food Processing,2022-12-28,2023-03-28,Low
C024,LEGAL_ENTITY,Stonebridge Treasury SPC,Offshore,Private Investment,2012-08-12,2018-01-07,High
C025,LEGAL_ENTITY,Trinity Ventures Ltd,US,Shipping,2018-10-05,2020-09-05,Low
C026,LEGAL_ENTITY,Bridgewater Capital Partners LP,EU,Private Investment,2026-02-18,2026-04-06,Low
C027,LEGAL_ENTITY,Summit Energy Solutions Ltd,UK,Real Estate,2023-01-09,2023-04-06,High
C028,LEGAL_ENTITY,Novaline Biotech GmbH,US,Private Investment,2022-02-26,2025-03-31,High
C029,LEGAL_ENTITY,Ironwood Marine Services SA,UK,FinTech,2023-07-07,2024-05-15,Low
C030,LEGAL_ENTITY,Elmwood Advisors LLP,Offshore,FinTech,2015-03-28,2015-06-11,Low
C031,LEGAL_ENTITY,Bridgewater Manufacturing Inc,Offshore,Shipping,2022-01-10,2024-08-08,High
C032,LEGAL_ENTITY,Foxhall Pharma BV,UK,Food Processing,2025-12-26,2026-04-06,Medium
C033,LEGAL_ENTITY,Pioneer Retail Group LLC,US,Private Investment,2024-11-12,2024-12-07,Low
C034,LEGAL_ENTITY,Maple Technologies GmbH,UK,Wholesale Trade,2014-04-28,2026-01-05,High
C035,LEGAL_ENTITY,Ironwood Advisors LLP,Offshore,Private Investment,2021-11-04,2025-11-25,High
C036,LEGAL_ENTITY,Harbor Technologies GmbH,Offshore,Pharmaceuticals,2011-05-10,2019-09-04,Medium
C037,LEGAL_ENTITY,Rosemont Technologies GmbH,US,Manufacturing,2023-05-08,,Low
C038,LEGAL_ENTITY,Westhaven Commodities Ltd,US,Insurance Brokerage,2026-03-14,2026-03-25,Low
C039,LEGAL_ENTITY,Harbor Ventures Ltd,EU,Manufacturing,2017-02-12,2024-03-16,Medium
C040,LEGAL_ENTITY,Harbor Logistics GmbH,Offshore,Import/Export,2024-06-08,2025-11-11,High
C041,LEGAL_ENTITY,Crown Foods BV,US,Agribusiness,2016-10-23,2018-04-09,High
C042,LEGAL_ENTITY,Lighthouse Energy Solutions Ltd,US,Shipping,2022-12-29,2025-02-11,High
C043,INDIVIDUAL,Daniel Bryant,US,Manufacturing,2020-04-08,2020-12-18,Medium
C044,INDIVIDUAL,Aria Bailey,EU,Healthcare,2011-05-22,2025-03-21,Low
C045,INDIVIDUAL,Julio Ortiz,EU,Real Estate,2025-12-16,2026-02-25,Low
C046,INDIVIDUAL,Lucas Bell,US,Real Estate,2021-06-18,2025-09-13,High
C047,INDIVIDUAL,James Perry,US,Real Estate,2025-11-25,2026-02-13,Low
C048,INDIVIDUAL,Claire Ramos,US,Retail,2026-01-02,2026-01-23,Low
C049,INDIVIDUAL,Victor Scott,EU,Hospitality,2024-03-02,2024-05-25,Low
C050,INDIVIDUAL,Owen Turner,US,Energy,2025-07-24,2026-01-18,Low
C051,INDIVIDUAL,Nora Hayes,US,Healthcare,2023-02-23,2025-11-03,Medium
C052,INDIVIDUAL,Leo Powell,EU,Retail,2020-02-05,,Low
