customer_id,screening_date,screening_result,list_reference
C001,2026-03-06,No Hit,OFAC
C002,2026-02-19,No Hit,EU
C003,2025-12-17,No Hit,HMT
C004,2026-01-08,No Hit,EU
C005,2026-03-24,No Hit,HMT
C006,2026-02-17,No Hit,OFAC
C007,2026-03-30,No Hit,UN
C008,2025-11-29,No Hit,HMT
C009,2025-11-21,No Hit,HMT
C010,2025-10-26,No Hit,EU
C011,2026-03-28,No Hit,UN
C012,2026-01-05,No Hit,HMT
C013,2025-12-18,No Hit,HMT
C014,2026-02-21,Hit,UN_PEP
C015,2026-01-05,No Hit,UN
C016,2025-12-22,No Hit,OFAC
C017,2026-02-22,No Hit,UN
C018,2026-03-20,No Hit,UN
C019,2026-01-21,No Hit,HMT
C020,2025-12-21,No Hit,EU
C021,2026-01-10,No Hit,HMT
C022,2026-01-09,No Hit,HMT
C023,2026-03-26,No Hit,OFAC
C024,2025-12-27,No Hit,UN
C025,2025-10-18,No Hit,EU
C026,2026-03-04,No Hit,HMT
C027,2025-09-23,No Hit,EU
C028,2025-08-11,No Hit,UN
C029,2025-07-15,No Hit,OFAC
C030,2025-06-18,No Hit,HMT
C031,2025-05-20,Hit,OFAC_SDN
C032,2025-09-14,No Hit,EU
C033,2025-07-27,No Hit,UN
C034,2025-08-06,No Hit,OFAC
C035,2025-04-19,No Hit,HMT
C036,2025-06-08,No Hit,UN
C037,2025-09-01,No Hit,EU
C038,2025-04-12,No Hit,HMT
C039,2024-03-19,No Hit,OFAC
C040,2024-02-27,No Hit,UN
C041,2023-06-14,No Hit,HMT
C042,2022-09-20,No Hit,EU
C5001,2026-03-10,No Hit,HMT
C5002,2026-03-10,No Hit,HMT
C5003,2026-03-10,No Hit,UN
C5004,2026-03-10,No Hit,OFAC
C5005,2026-03-10,No Hit,EU
C5006,2026-03-10,No Hit,HMT
C5007,2026-01-09,No Hit,OFAC
C5008,2026-03-10,No Hit,HMT
C5009,2026-01-09,No Hit,UN
C5010,2026-01-09,No Hit,EU
C5011,2026-03-10,No Hit,HMT
C5012,2026-03-10,No Hit,HMT
C5013,2026-03-10,No Hit,OFAC
C5014,2026-01-09,No Hit,UN
C5015,2026-03-10,No Hit,OFAC
C5016,2026-03-10,No Hit,OFAC
C5017,2026-03-10,No Hit,HMT
C5018,2026-03-10,No Hit,UN
C5019,2026-03-10,No Hit,HMT
C5020,2026-03-10,No Hit,EU
C5021,2026-03-10,No Hit,OFAC
C5022,2026-03-10,No Hit,UN
C5023,2026-03-10,No Hit,HMT
C5024,2026-03-10,No Hit,OFAC
C5025,2026-01-09,No Hit,HMT
C5026,2026-01-09,No Hit,EU
C5027,2026-03-10,No Hit,HMT
C5028,2026-03-10,No Hit,EU
C5029,2026-03-10,No Hit,UN
C5030,2026-03-10,No Hit,HMT
C5031,2026-03-10,No Hit,EU
C5032,2026-03-10,No Hit,UN
C5033,2026-03-10,No Hit,HMT
C5034,2026-03-10,No Hit,UN
C5035,2026-03-10,No Hit,UN
C5036,2026-03-10,No Hit,OFAC
C5037,2026-03-10,No Hit,UN
C5038,2026-03-10,No Hit,OFAC
C5039,2026-03-10,No Hit,UN
C5040,2026-03-10,No Hit,HMT
C5041,2026-03-10,No Hit,EU
C5042,2026-03-10,No Hit,EU
C5043,2026-03-10,No Hit,EU
C5044,2026-03-10,No Hit,OFAC
C5045,2026-03-10,No Hit,UN
C5046,2026-03-10,No Hit,UN
C5047,2026-03-10,No Hit,HMT
C5048,2026-03-10,No Hit,UN
C5049,2026-03-10,No Hit,UN
C5050,2026-03-10,No Hit,EU
C5051,2026-03-10,No Hit,HMT
C5052,2026-03-10,No Hit,EU
C5053,2026-03-10,No Hit,HMT
C5054,2026-03-10,No Hit,EU
C5055,2026-03-10,No Hit,OFAC
C5056,2026-01-09,No Hit,HMT
C5057,2026-03-10,No Hit,HMT
C5058,2026-03-10,No Hit,HMT
C5059,2026-03-10,No Hit,EU
C5060,2026-03-10,No Hit,OFAC
C5061,2026-03-10,No Hit,UN
C5062,2026-03-10,No Hit,UN
C5063,2026-03-10,No Hit,OFAC
C5064,2026-03-10,No Hit,OFAC
